accuracy,log_loss,brier_score,naive_accuracy,accuracy_vs_naive,upset_recall,upset_precision,n_upsets,n_upset_predictions,ece,fold,test_season,n_train_series,n_test_series
0.8,0.5899718051400118,0.1833549846885176,0.7333333333333333,0.06666666666666676,0.25,1.0,4,1,0.2009029242982878,0,2013,150,15
0.8666666666666667,0.33709258600378406,0.10071980433652133,0.8,0.06666666666666665,0.6666666666666666,0.6666666666666666,3,3,0.18928454852594492,1,2014,165,15
0.7333333333333333,0.36889643426536123,0.12376087252068256,0.8666666666666667,-0.13333333333333341,0.0,0.0,2,2,0.13780230158007348,2,2015,180,15
0.8,0.41347123311672973,0.1333094484624309,0.8,0.0,0.3333333333333333,0.5,3,2,0.10016411162997518,3,2016,195,15
1.0,0.23881844050294512,0.056856771103652705,0.9333333333333333,0.06666666666666665,1.0,1.0,1,1,0.20194400812890728,4,2017,210,15
0.7333333333333333,0.6006101877506421,0.20641082867066457,0.7333333333333333,0.0,0.0,0.0,4,0,0.2182679467654055,5,2018,225,15
0.8666666666666667,0.4579423025856005,0.1409886641241183,0.8666666666666667,0.0,0.0,0.0,2,0,0.21672416130299962,6,2019,240,15
0.7333333333333333,0.6279455378057688,0.1964080430567003,0.6666666666666666,0.06666666666666665,0.2,1.0,5,1,0.20699384606513094,7,2020,255,15
0.6666666666666666,0.7826312160752409,0.24455081848957844,0.7333333333333333,-0.06666666666666665,0.0,0.0,4,1,0.28072631186778024,8,2021,270,15
0.6666666666666666,0.6285876766327528,0.21121908461344377,0.8,-0.13333333333333341,0.0,0.0,3,2,0.30716297582419294,9,2022,285,15
0.4666666666666667,0.8789813768429077,0.3060873498395495,0.5333333333333333,-0.06666666666666665,0.0,0.0,7,1,0.28927915714020913,10,2023,300,15
0.6,0.6258720102826824,0.22828363964099696,0.6,0.0,0.0,0.0,6,0,0.2668966992586395,11,2024,315,15
0.8,0.5706616811395061,0.18915819855177682,0.6666666666666666,0.13333333333333341,0.4,1.0,5,2,0.22966591858853536,12,2025,330,15
